Rank,Δ Rank (1wk),Security,Industry,Unnamed: 4,Market Cap (MM),Short Float,SI Change (1m %),Float - SI (MM),Days to Cover,Price Momo (1m %),Shares Avail. (1K),Borrow Fee Rate,Short Squeeze Score
88,210 ↑,"ACTU / Actuate Therapeutics, Inc.",Prepackaged Software,,67.64,11.07,36.7,7.35,5.77,20.33,60.0,3.21,88.05
89,20 ↓,"VRM / Vroom, Inc.",Automotive Dealers And Gasoline Service Stations,,81.09,7.66,19.34,0.7,9.37,5.65,10.0,4.1,88.03
90,34 ↑,"LENZ / LENZ Therapeutics, Inc.",,,290.72,51.28,-1.39,9.0,13.48,1.2,200.0,1.14,87.97
91,112 ↑,DERM / Journey Medical Corporation,Pharmaceutical Preparations,,142.78,25.05,41.28,11.13,30.35,8.07,20.0,1.1,88.34
92,26 ↑,TEAD / Teads Holding Co.,"Computer Programming, Data Processing, And Other Computer Related Services",,88.78,22.33,-3.23,20.25,32.06,28.97,550.0,2.53,87.94
93,3 ↑,USGO / U.S. GoldMining Inc.,Gold And Silver Mining,,173.02,8.54,-25.7,2.64,5.22,7.96,25.0,3.6,87.88
94,8 ↑,HAFN / Hafnia Limited,Deep Sea Foreign Transportation of Freight,,4367.37,26.65,27.05,8.82,2.01,8.31,1500.0,0.7,87.76
95,25 ↓,UHAL / U-Haul Holding Company,"Automotive Rental And Leasing, Without Drivers",,9356.05,18.83,1.88,6.3,9.89,4.45,40.0,0.91,87.73
96,21 ↓,DFLI / Dragonfly Energy Holdings Corp.,"Miscellaneous Electrical Machinery, Equipment, and Supplies",,23.86,11.22,9.56,9.84,4.21,4.68,200.0,9.29,87.7
97,69 ↑,"GRCE / Grace Therapeutics, Inc.",Pharmaceutical Preparations,,32.65,18.24,24.48,7.83,0.86,-39.48,40.0,6.31,87.09
98,42 ↑,MDWD / MediWound Ltd.,Medicinal Chemicals and Botanical Products,,213.06,16.77,18.2,8.13,46.03,3.03,350.0,2.24,88.19
99,35 ↓,LOVE / The Lovesac Company,Furniture Stores,,238.26,33.25,-1.08,7.29,20.81,5.93,250.0,0.55,87.53
100,3 ↑,"GRPN / Groupon, Inc.",Advertising Agencies,,580.44,47.43,9.37,15.25,7.18,6.54,450.0,1.01,87.52
